ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes
1648962600.704703,CIEMbn2rY6W6P8tj43,192.168.1.7,56330,212.166.211.2,53,udp,dns,0.024619817733764003,90.0,154.0,SF,True,False,0,Dd,1,118,1,182
1648962600.61844,CF29v139YZe9RFM6Ul,192.168.1.7,44634,212.166.211.2,53,udp,dns,0.073712110519409,90.0,154.0,SF,True,False,0,Dd,1,118,1,182
1648962592.20626,CP3eS42Fu8WsqKfXbg,192.168.1.5,5353,224.0.0.251,5353,udp,dns,1.006192922592163,224.0,0.0,S0,True,False,0,D,2,280,0,0
1648962592.207268,CQpaCo2GaDPmkkHOUg,fe80::49:ef2f:40e:6ac8,5353,ff02::fb,5353,udp,dns,1.007632970809936,224.0,0.0,S0,False,False,0,D,2,320,0,0
1648962608.361205,CTxk113duCf2fWRTJ2,192.168.1.3,56103,212.166.211.2,53,udp,dns,8.5830688476e-05,0.0,152.0,SHR,True,False,0,^d,0,0,2,208
1648962579.345181,CVZqbGIjgPB0iXqUb,192.168.1.254,43709,239.255.255.250,1900,udp,,0.008068084716796,2649.0,0.0,S0,True,False,0,D,7,2845,0,0
1648962579.539069,CQruHn4ZW5lxwFjGS3,192.168.1.254,54109,239.255.255.250,1900,udp,,0.008224964141845,2649.0,0.0,S0,True,False,0,D,7,2845,0,0
1648962579.732078,CZ6SoeeSo6J0qauU1,192.168.1.254,46157,239.255.255.250,1900,udp,,0.008080959320068,2649.0,0.0,S0,True,False,0,D,7,2845,0,0
1648962593.203455,ChMEZY1vYNLMJ4XQO4,fe80::49:ef2f:40e:6ac8,143,ff02::16,0,icmp,,1.998794078826904,40.0,0.0,OTH,False,False,0,,2,152,0,0
1648962653.209835,Cg0iSD4gt9KooNksM8,192.168.1.5,5353,224.0.0.251,5353,udp,dns,1.008897066116333,224.0,0.0,S0,True,False,0,D,2,280,0,0
1648962653.210812,CIGKEN38ndrw3Iou4g,fe80::49:ef2f:40e:6ac8,5353,ff02::fb,5353,udp,dns,1.008925914764404,224.0,0.0,S0,False,False,0,D,2,320,0,0
1648962716.632497,CuhHvmXOOTz0QrzKh,192.168.1.5,49624,212.166.211.2,53,udp,dns,0.020560979843139003,98.0,320.0,SF,True,False,0,Dd,2,154,2,376
1648962716.632752,C7S2pD4M96JgAiDpz6,192.168.1.5,57578,212.166.211.2,53,udp,dns,0.024791955947875,56.0,88.0,SF,True,False,0,Dd,2,112,2,144
1648962714.214137,ChAeSV1Gq1OlUOLOF1,fe80::49:ef2f:40e:6ac8,5353,ff02::fb,5353,udp,dns,4.0231239795684814,336.0,0.0,S0,False,False,0,D,3,480,0,0
1648962714.213115,ChM21OxqHwJveglE3,192.168.1.5,5353,224.0.0.251,5353,udp,dns,4.023128032684326,336.0,0.0,S0,True,False,0,D,3,420,0,0
